age,weight_kg,height_cm,bmi,gender,goal,experience,workout_type,duration_min,calories_burned,weekly_frequency
36,77.6,177.5,24.63,male,weight_loss,intermediate,Cardio + HIIT,43,323.7,4
24,84.6,176.7,27.1,female,weight_loss,beginner,Cardio + HIIT,39,339.8,3
54,116.1,181.8,35.13,male,weight_loss,beginner,Cardio + HIIT,43,439.3,3
33,65.0,187.4,18.51,male,weight_loss,intermediate,Cardio + HIIT,47,300.9,4
19,111.0,161.3,42.66,female,endurance,beginner,Running + Cycling,39,570.9,3
40,79.5,176.4,25.55,female,weight_loss,advanced,Cardio + HIIT,61,460.7,6
29,96.2,191.3,26.29,male,general_fitness,intermediate,Mixed Training,54,478.6,5
24,98.8,173.2,32.94,female,flexibility,beginner,Yoga + Stretching,32,162.8,4
41,76.7,163.9,28.55,male,weight_loss,intermediate,Cardio + HIIT,49,355.2,4
17,88.6,182.7,26.54,female,general_fitness,intermediate,Mixed Training,57,493.0,4
35,80.1,191.2,21.91,female,weight_loss,beginner,Cardio + HIIT,28,218.7,3
43,50.9,153.2,21.69,male,weight_loss,intermediate,Cardio + HIIT,54,257.0,4
62,82.2,188.8,23.06,female,weight_loss,beginner,Cardio + HIIT,35,241.7,4
22,53.3,191.1,14.6,male,muscle_gain,beginner,Strength Training,27,124.7,4
59,79.4,173.1,26.5,female,muscle_gain,beginner,Strength Training,39,220.6,3
23,95.4,199.2,24.04,female,flexibility,beginner,Yoga + Stretching,27,133.3,3
62,94.3,189.3,26.32,female,muscle_gain,beginner,Strength Training,39,257.4,4
50,101.3,188.7,28.45,male,endurance,intermediate,Running + Cycling,45,512.8,5
29,53.1,187.4,15.12,male,weight_loss,intermediate,Cardio + HIIT,40,213.5,5
32,100.4,157.5,40.47,male,flexibility,intermediate,Yoga + Stretching,53,263.4,5
51,71.5,160.9,27.62,female,weight_loss,advanced,Cardio + HIIT,70,447.9,6
55,78.9,173.2,26.3,female,weight_loss,advanced,Cardio + HIIT,55,379.7,6
19,117.9,163.2,44.27,female,weight_loss,intermediate,Cardio + HIIT,60,746.3,5
17,45.8,170.8,15.7,male,weight_loss,intermediate,Cardio + HIIT,56,273.2,4
21,95.0,194.4,25.14,female,muscle_gain,beginner,Strength Training,32,264.7,3
57,95.9,191.2,26.23,female,flexibility,advanced,Yoga + Stretching,72,298.6,6
19,78.7,181.5,23.89,female,weight_loss,beginner,Cardio + HIIT,40,332.1,3
44,65.1,192.9,17.5,male,endurance,beginner,Running + Cycling,30,227.0,4
33,64.9,189.2,18.13,male,endurance,intermediate,Running + Cycling,49,391.5,4
41,120.1,171.4,40.88,female,general_fitness,beginner,Mixed Training,34,353.7,4
59,82.6,160.1,32.23,female,weight_loss,beginner,Cardio + HIIT,29,204.8,3
49,73.1,175.7,23.68,male,muscle_gain,intermediate,Strength Training,51,281.2,5
25,83.1,186.8,23.81,female,general_fitness,intermediate,Mixed Training,59,460.7,4
51,101.9,171.8,34.52,male,endurance,intermediate,Running + Cycling,56,638.4,4
29,57.4,183.3,17.08,female,muscle_gain,advanced,Strength Training,68,326.9,6
46,83.2,154.7,34.77,male,weight_loss,beginner,Cardio + HIIT,38,290.9,4
63,95.0,187.4,27.05,male,weight_loss,beginner,Cardio + HIIT,27,214.2,4
30,125.6,190.6,34.57,male,endurance,intermediate,Running + Cycling,51,800.0,4
23,66.5,185.3,19.37,male,endurance,beginner,Running + Cycling,44,378.6,3
29,75.5,198.4,19.18,male,weight_loss,intermediate,Cardio + HIIT,57,432.5,4
38,77.2,191.3,21.1,female,endurance,beginner,Running + Cycling,36,333.5,3
55,96.5,195.2,25.33,male,endurance,intermediate,Running + Cycling,41,432.7,5
36,75.3,196.7,19.46,male,muscle_gain,intermediate,Strength Training,41,249.6,5
31,90.3,190.1,24.99,male,endurance,intermediate,Running + Cycling,56,628.9,4
60,111.5,183.7,33.04,male,flexibility,intermediate,Yoga + Stretching,49,232.2,5
33,105.0,150.3,46.48,male,muscle_gain,intermediate,Strength Training,57,491.3,5
62,82.9,173.3,27.6,male,general_fitness,beginner,Mixed Training,43,274.5,4
39,118.5,178.6,37.15,female,weight_loss,beginner,Cardio + HIIT,45,509.3,4
41,92.4,165.2,33.86,male,weight_loss,beginner,Cardio + HIIT,25,218.3,3
40,90.9,165.9,33.03,female,weight_loss,intermediate,Cardio + HIIT,43,371.3,5
60,47.9,198.1,12.21,male,weight_loss,beginner,Cardio + HIIT,28,114.0,4
56,128.9,194.6,34.04,male,weight_loss,intermediate,Cardio + HIIT,41,459.8,5
44,55.5,192.5,14.98,male,weight_loss,beginner,Cardio + HIIT,43,221.9,3
30,64.6,170.3,22.27,female,flexibility,intermediate,Yoga + Stretching,60,193.8,5
60,49.4,150.7,21.75,female,weight_loss,advanced,Cardio + HIIT,66,277.1,5
16,99.4,154.0,41.91,female,endurance,beginner,Running + Cycling,34,452.0,3
40,64.1,165.6,23.37,male,weight_loss,beginner,Cardio + HIIT,37,225.3,4
22,60.3,150.8,26.52,female,general_fitness,beginner,Mixed Training,44,252.9,4
24,52.5,150.9,23.06,male,endurance,intermediate,Running + Cycling,54,365.0,4
39,53.8,195.8,14.03,male,weight_loss,intermediate,Cardio + HIIT,42,215.8,4
16,94.7,185.3,27.58,female,flexibility,beginner,Yoga + Stretching,44,222.9,3
59,103.5,165.4,37.83,male,muscle_gain,intermediate,Strength Training,52,383.5,4
23,78.8,156.6,32.13,female,flexibility,beginner,Yoga + Stretching,32,130.5,4
39,85.8,175.6,27.83,male,muscle_gain,intermediate,Strength Training,46,314.1,4
26,103.3,150.3,45.73,female,endurance,intermediate,Running + Cycling,47,619.0,5
32,46.5,196.9,11.99,female,flexibility,intermediate,Yoga + Stretching,57,131.2,5
23,72.5,170.7,24.88,female,muscle_gain,beginner,Strength Training,33,206.4,3
50,127.7,170.1,44.13,male,weight_loss,advanced,Cardio + HIIT,60,689.6,6
50,94.3,169.5,32.82,male,flexibility,intermediate,Yoga + Stretching,43,182.5,4
48,66.6,153.5,28.27,female,muscle_gain,beginner,Strength Training,39,197.0,3
20,89.3,181.9,26.99,male,muscle_gain,beginner,Strength Training,29,226.6,3
57,74.1,186.7,21.26,female,weight_loss,intermediate,Cardio + HIIT,44,282.0,5
54,90.2,183.8,26.7,female,muscle_gain,advanced,Strength Training,61,403.5,6
56,55.7,156.9,22.63,male,general_fitness,advanced,Mixed Training,63,279.9,5
43,56.3,178.9,17.59,female,weight_loss,intermediate,Cardio + HIIT,46,242.1,5
22,57.2,178.5,17.95,female,muscle_gain,advanced,Strength Training,63,312.3,6
24,124.9,193.4,33.39,male,endurance,beginner,Running + Cycling,44,707.6,4
23,107.3,169.0,37.57,male,flexibility,beginner,Yoga + Stretching,34,188.8,4
27,58.8,168.6,20.69,male,muscle_gain,advanced,Strength Training,58,288.5,6
49,61.0,180.9,18.64,male,muscle_gain,advanced,Strength Training,60,276.0,5
48,107.1,181.7,32.44,female,general_fitness,intermediate,Mixed Training,53,473.5,5
63,58.3,173.5,19.37,male,endurance,advanced,Running + Cycling,63,383.4,6
38,64.9,172.2,21.89,female,weight_loss,advanced,Cardio + HIIT,55,342.7,5
39,126.9,174.7,41.58,male,weight_loss,advanced,Cardio + HIIT,71,800.0,6
52,66.7,193.1,17.89,female,muscle_gain,advanced,Strength Training,67,331.4,6
50,101.2,173.1,33.77,female,weight_loss,advanced,Cardio + HIIT,61,555.6,6
59,128.2,197.0,33.03,male,weight_loss,beginner,Cardio + HIIT,33,361.7,3
55,76.8,175.2,25.02,male,general_fitness,advanced,Mixed Training,65,400.4,6
37,46.5,197.5,11.92,female,weight_loss,beginner,Cardio + HIIT,27,121.2,4
42,65.8,191.6,17.92,female,endurance,advanced,Running + Cycling,66,510.3,5
50,115.6,168.1,40.91,male,weight_loss,intermediate,Cardio + HIIT,60,624.2,4
16,118.5,193.2,31.75,male,flexibility,intermediate,Yoga + Stretching,42,266.3,5
50,110.3,155.5,45.62,male,endurance,intermediate,Running + Cycling,54,670.1,4
52,54.6,196.3,14.17,male,weight_loss,beginner,Cardio + HIIT,45,218.7,3
62,112.6,181.6,34.14,female,muscle_gain,beginner,Strength Training,34,268.0,3
29,123.1,152.7,52.79,female,weight_loss,advanced,Cardio + HIIT,55,680.4,6
18,96.1,182.2,28.95,male,general_fitness,advanced,Mixed Training,68,635.0,6
16,125.0,198.7,31.66,female,general_fitness,beginner,Mixed Training,44,539.5,3
20,115.3,153.5,48.93,male,muscle_gain,advanced,Strength Training,60,605.3,5
41,101.7,177.7,32.21,female,muscle_gain,advanced,Strength Training,56,448.5,5
29,94.1,187.4,26.79,male,muscle_gain,intermediate,Strength Training,47,370.4,4
54,74.6,190.5,20.56,male,endurance,beginner,Running + Cycling,25,205.2,4
42,58.5,170.7,20.08,male,muscle_gain,advanced,Strength Training,58,265.8,5
24,96.4,160.2,37.56,male,weight_loss,intermediate,Cardio + HIIT,43,427.0,5
30,72.0,152.1,31.12,female,muscle_gain,advanced,Strength Training,59,354.0,5
30,118.6,179.0,37.02,female,weight_loss,advanced,Cardio + HIIT,74,800.0,6
41,129.4,172.6,43.44,male,endurance,advanced,Running + Cycling,63,800.0,6
57,109.0,197.4,27.97,female,weight_loss,intermediate,Cardio + HIIT,52,490.3,4
28,52.7,153.0,22.51,male,endurance,beginner,Running + Cycling,42,279.4,4
47,69.5,184.3,20.46,female,weight_loss,beginner,Cardio + HIIT,41,260.7,4
54,54.3,151.2,23.75,male,weight_loss,beginner,Cardio + HIIT,25,119.5,4
64,100.3,158.6,39.87,male,endurance,beginner,Running + Cycling,39,405.8,3
47,110.0,172.7,36.88,male,general_fitness,intermediate,Mixed Training,41,378.3,5
19,123.7,172.7,41.47,female,flexibility,intermediate,Yoga + Stretching,55,358.9,5
45,82.2,184.3,24.2,female,weight_loss,advanced,Cardio + HIIT,74,562.7,5
52,121.6,195.5,31.82,male,weight_loss,beginner,Cardio + HIIT,29,313.8,3
38,119.6,182.0,36.11,male,general_fitness,intermediate,Mixed Training,58,610.4,5
54,72.0,197.7,18.42,male,muscle_gain,beginner,Strength Training,29,153.1,4
60,118.9,194.1,31.56,female,weight_loss,beginner,Cardio + HIIT,26,262.8,3
30,76.9,179.2,23.95,female,general_fitness,beginner,Mixed Training,31,218.5,3
58,70.2,191.7,19.1,male,flexibility,intermediate,Yoga + Stretching,42,126.8,5
44,100.2,182.1,30.22,male,general_fitness,beginner,Mixed Training,41,350.2,4
51,72.9,153.9,30.78,female,general_fitness,intermediate,Mixed Training,42,251.2,4
28,98.6,187.0,28.2,male,general_fitness,beginner,Mixed Training,37,337.8,3
47,96.8,154.7,40.45,male,weight_loss,advanced,Cardio + HIIT,61,540.3,6
22,92.9,179.7,28.77,male,weight_loss,advanced,Cardio + HIIT,57,550.7,6
37,77.3,185.1,22.56,male,endurance,advanced,Running + Cycling,69,643.4,5
43,91.6,153.3,38.98,male,muscle_gain,advanced,Strength Training,72,513.9,6
17,95.7,161.5,36.69,female,muscle_gain,advanced,Strength Training,64,543.6,6
57,91.4,195.8,23.84,male,muscle_gain,advanced,Strength Training,61,401.9,6
60,82.8,180.8,25.33,female,muscle_gain,intermediate,Strength Training,48,281.5,5
21,46.2,162.3,17.54,male,endurance,beginner,Running + Cycling,29,175.0,3
43,94.9,184.5,27.88,female,weight_loss,beginner,Cardio + HIIT,44,390.4,3
43,59.3,179.8,18.34,female,weight_loss,beginner,Cardio + HIIT,32,177.4,4
59,99.6,175.1,32.49,female,muscle_gain,intermediate,Strength Training,53,376.1,5
59,109.5,198.8,27.71,male,endurance,intermediate,Running + Cycling,43,503.2,5
35,87.5,184.2,25.79,male,weight_loss,advanced,Cardio + HIIT,74,631.3,6
45,91.1,168.8,31.97,male,muscle_gain,advanced,Strength Training,68,477.5,5
26,125.9,190.0,34.88,female,endurance,intermediate,Running + Cycling,51,800.0,5
43,117.0,194.2,31.02,male,muscle_gain,intermediate,Strength Training,41,373.8,5
40,122.7,156.3,50.23,female,weight_loss,advanced,Cardio + HIIT,67,781.0,5
54,114.2,160.0,44.61,female,muscle_gain,beginner,Strength Training,25,209.4,3
48,54.3,160.8,21.0,male,weight_loss,advanced,Cardio + HIIT,74,365.7,6
16,57.7,184.6,16.93,female,general_fitness,beginner,Mixed Training,31,175.4,3
42,89.8,180.2,27.65,male,weight_loss,intermediate,Cardio + HIIT,48,405.2,4
28,65.9,180.9,20.14,male,endurance,beginner,Running + Cycling,41,341.1,4
56,85.5,197.0,22.03,male,weight_loss,advanced,Cardio + HIIT,75,557.9,6
18,78.5,188.8,22.02,female,muscle_gain,intermediate,Strength Training,52,360.6,4
54,91.7,156.4,37.49,male,endurance,beginner,Running + Cycling,34,343.0,4
21,108.5,167.4,38.72,female,weight_loss,beginner,Cardio + HIIT,40,453.5,3
23,105.8,171.8,35.85,male,muscle_gain,intermediate,Strength Training,45,410.6,4
42,89.3,169.8,30.97,male,weight_loss,advanced,Cardio + HIIT,70,587.6,5
24,114.9,183.5,34.12,female,muscle_gain,advanced,Strength Training,65,641.0,6
52,81.6,194.6,21.55,male,endurance,intermediate,Running + Cycling,59,535.6,5
48,121.2,165.3,44.36,male,muscle_gain,beginner,Strength Training,27,248.2,3
57,51.1,177.6,16.2,female,general_fitness,intermediate,Mixed Training,48,194.5,4
59,126.1,189.5,35.12,male,endurance,intermediate,Running + Cycling,54,727.8,5
39,100.6,170.8,34.48,male,muscle_gain,advanced,Strength Training,67,536.4,5
30,77.3,158.4,30.81,male,weight_loss,beginner,Cardio + HIIT,34,262.8,3
47,61.8,173.7,20.48,male,muscle_gain,intermediate,Strength Training,59,278.0,5
47,85.7,152.8,36.71,female,flexibility,intermediate,Yoga + Stretching,52,203.9,5
39,61.5,197.1,15.83,female,weight_loss,advanced,Cardio + HIIT,71,417.0,6
56,59.1,153.7,25.02,male,flexibility,advanced,Yoga + Stretching,61,156.8,6
64,97.5,171.9,33.0,male,weight_loss,advanced,Cardio + HIIT,60,485.6,5
64,89.5,176.5,28.73,male,flexibility,intermediate,Yoga + Stretching,52,193.1,5
27,102.0,199.3,25.68,female,weight_loss,beginner,Cardio + HIIT,41,424.5,4
54,124.0,158.3,49.48,male,general_fitness,advanced,Mixed Training,69,690.2,5
17,90.2,155.7,37.21,male,muscle_gain,intermediate,Strength Training,43,344.2,4
18,94.4,150.4,41.73,female,weight_loss,beginner,Cardio + HIIT,39,390.2,3
64,52.6,157.8,21.12,female,weight_loss,beginner,Cardio + HIIT,38,165.9,4
52,106.0,160.4,41.2,male,muscle_gain,advanced,Strength Training,75,589.6,5
64,79.0,181.5,23.98,male,general_fitness,beginner,Mixed Training,35,210.4,4
32,128.0,161.0,49.38,male,weight_loss,intermediate,Cardio + HIIT,43,544.9,4
64,115.0,151.0,50.44,male,weight_loss,intermediate,Cardio + HIIT,42,400.9,5
17,89.4,191.3,24.43,female,endurance,beginner,Running + Cycling,26,309.4,3
17,55.5,168.3,19.59,female,muscle_gain,beginner,Strength Training,44,216.7,4
43,118.1,167.7,41.99,female,muscle_gain,advanced,Strength Training,64,588.9,6
38,113.0,165.1,41.46,male,endurance,advanced,Running + Cycling,67,800.0,5
52,60.7,198.8,15.36,male,weight_loss,beginner,Cardio + HIIT,44,237.7,3
47,70.1,158.5,27.9,male,general_fitness,advanced,Mixed Training,75,441.0,6
48,112.4,194.9,29.59,male,muscle_gain,advanced,Strength Training,72,613.7,5
16,60.7,188.8,17.03,female,weight_loss,intermediate,Cardio + HIIT,60,389.7,5
34,123.0,153.8,52.0,male,endurance,intermediate,Running + Cycling,55,800.0,5
17,81.1,199.3,20.42,male,endurance,advanced,Running + Cycling,65,701.8,6
59,52.4,163.6,19.58,male,muscle_gain,intermediate,Strength Training,49,182.9,4
41,114.3,154.9,47.64,male,endurance,beginner,Running + Cycling,33,445.6,4
47,76.7,191.5,20.91,male,weight_loss,advanced,Cardio + HIIT,66,463.2,6
21,89.8,185.3,26.15,female,muscle_gain,intermediate,Strength Training,58,453.6,5
47,54.5,180.9,16.65,male,general_fitness,beginner,Mixed Training,25,114.3,4
19,45.2,157.8,18.15,female,weight_loss,intermediate,Cardio + HIIT,57,271.8,4
26,99.2,173.9,32.8,male,muscle_gain,intermediate,Strength Training,53,446.9,4
32,88.8,189.0,24.86,male,flexibility,advanced,Yoga + Stretching,75,329.7,6
53,95.5,165.2,34.99,female,general_fitness,intermediate,Mixed Training,40,309.9,4
39,112.5,165.6,41.02,male,muscle_gain,beginner,Strength Training,41,367.1,3
20,100.0,150.2,44.33,female,muscle_gain,intermediate,Strength Training,50,437.5,5
49,59.9,158.7,23.78,male,endurance,intermediate,Running + Cycling,59,399.8,4
21,75.7,193.8,20.16,male,general_fitness,beginner,Mixed Training,39,282.8,3
37,122.0,172.1,41.19,female,general_fitness,intermediate,Mixed Training,43,464.1,4
26,110.4,199.2,27.82,female,weight_loss,advanced,Cardio + HIIT,69,777.0,5
63,92.3,169.8,32.01,female,muscle_gain,beginner,Strength Training,38,244.1,3
31,66.7,185.8,19.32,female,muscle_gain,intermediate,Strength Training,40,221.2,4
48,70.7,164.1,26.25,male,flexibility,beginner,Yoga + Stretching,33,106.2,4
24,107.2,168.2,37.89,female,endurance,beginner,Running + Cycling,31,427.9,3
21,117.3,159.5,46.11,female,endurance,beginner,Running + Cycling,35,536.3,4
31,102.1,167.4,36.43,male,general_fitness,beginner,Mixed Training,26,242.1,4
44,113.8,177.4,36.16,male,weight_loss,advanced,Cardio + HIIT,56,592.7,6
18,110.2,199.6,27.66,female,weight_loss,beginner,Cardio + HIIT,30,350.4,3
35,57.7,183.2,17.19,male,muscle_gain,intermediate,Strength Training,58,271.9,4
51,81.0,160.0,31.64,male,muscle_gain,beginner,Strength Training,44,265.8,4
34,58.0,152.2,25.04,female,weight_loss,advanced,Cardio + HIIT,68,386.5,6
41,65.0,156.3,26.61,male,weight_loss,intermediate,Cardio + HIIT,42,258.0,5
18,118.9,178.1,37.48,male,endurance,intermediate,Running + Cycling,46,724.7,4
34,85.2,188.3,24.03,female,general_fitness,beginner,Mixed Training,31,237.3,3
35,90.5,197.0,23.32,male,muscle_gain,intermediate,Strength Training,43,316.2,4
47,60.2,150.8,26.47,female,muscle_gain,beginner,Strength Training,29,133.1,4
22,71.5,176.1,23.06,male,weight_loss,advanced,Cardio + HIIT,71,528.0,5
56,64.6,173.5,21.46,male,flexibility,intermediate,Yoga + Stretching,43,120.8,4
48,62.5,182.8,18.7,male,flexibility,intermediate,Yoga + Stretching,52,147.9,5
55,99.2,178.0,31.31,female,endurance,intermediate,Running + Cycling,55,596.8,4
54,66.8,184.4,19.65,male,weight_loss,beginner,Cardio + HIIT,40,235.1,4
33,98.7,182.9,29.5,male,weight_loss,intermediate,Cardio + HIIT,41,398.6,4
55,50.0,155.9,20.57,male,weight_loss,intermediate,Cardio + HIIT,57,249.4,5
16,57.1,190.0,15.82,male,endurance,intermediate,Running + Cycling,40,305.5,4
26,68.3,156.2,27.99,male,flexibility,intermediate,Yoga + Stretching,57,198.5,5
43,95.7,184.9,27.99,male,general_fitness,beginner,Mixed Training,32,262.5,3
40,102.4,170.8,35.1,male,muscle_gain,beginner,Strength Training,35,283.7,4
38,82.6,175.7,26.76,male,flexibility,advanced,Yoga + Stretching,69,273.6,6
46,82.9,195.2,21.76,female,general_fitness,intermediate,Mixed Training,55,384.5,4
45,106.6,194.5,28.18,female,weight_loss,intermediate,Cardio + HIIT,56,552.2,4
57,46.3,190.9,12.7,male,muscle_gain,advanced,Strength Training,71,237.0,6
50,74.0,175.5,24.03,male,general_fitness,beginner,Mixed Training,36,219.8,3
22,114.6,186.8,32.84,female,muscle_gain,advanced,Strength Training,64,635.6,6
31,96.3,175.6,31.23,female,general_fitness,advanced,Mixed Training,74,650.0,6
41,73.7,193.5,19.68,male,general_fitness,advanced,Mixed Training,60,383.1,5
63,122.0,170.1,42.16,female,endurance,advanced,Running + Cycling,62,789.5,5
64,110.7,198.5,28.09,male,flexibility,beginner,Yoga + Stretching,37,170.0,3
17,67.5,196.6,17.46,male,endurance,beginner,Running + Cycling,26,233.6,4
16,99.8,187.1,28.51,male,endurance,intermediate,Running + Cycling,58,774.2,5
63,95.6,164.0,35.54,female,muscle_gain,beginner,Strength Training,34,226.2,3
27,79.1,156.6,32.25,male,weight_loss,beginner,Cardio + HIIT,28,224.8,4
20,76.2,192.7,20.52,female,muscle_gain,advanced,Strength Training,66,440.1,6
52,74.2,158.3,29.61,male,endurance,beginner,Running + Cycling,42,346.7,3
47,97.5,192.7,26.26,male,weight_loss,advanced,Cardio + HIIT,61,544.2,6
24,82.6,174.5,27.13,male,weight_loss,advanced,Cardio + HIIT,74,629.6,6
56,115.7,170.3,39.89,female,weight_loss,advanced,Cardio + HIIT,58,583.8,6
50,101.9,195.2,26.74,male,endurance,advanced,Running + Cycling,61,699.3,5
34,50.9,180.2,15.68,male,general_fitness,advanced,Mixed Training,64,292.6,5
63,99.4,178.8,31.09,male,general_fitness,advanced,Mixed Training,69,525.0,6
31,68.0,177.9,21.49,female,muscle_gain,intermediate,Strength Training,51,287.6,4
18,95.4,168.6,33.56,male,general_fitness,beginner,Mixed Training,25,231.7,4
35,102.8,189.3,28.69,male,endurance,advanced,Running + Cycling,74,800.0,5
39,64.6,162.6,24.43,male,muscle_gain,advanced,Strength Training,72,370.2,6
48,83.8,196.9,21.61,female,endurance,intermediate,Running + Cycling,55,524.3,5
39,61.2,194.7,16.14,female,weight_loss,beginner,Cardio + HIIT,29,169.5,4
26,49.4,166.9,17.73,female,general_fitness,intermediate,Mixed Training,58,267.9,5
64,77.2,186.5,22.2,male,muscle_gain,beginner,Strength Training,28,149.5,3
23,75.9,178.7,23.77,male,muscle_gain,advanced,Strength Training,60,392.8,6
51,129.6,166.9,46.53,female,endurance,advanced,Running + Cycling,71,800.0,6
53,82.9,199.4,20.85,male,muscle_gain,beginner,Strength Training,31,189.5,3
55,73.4,151.3,32.06,male,weight_loss,intermediate,Cardio + HIIT,46,295.4,4
35,94.3,162.6,35.67,male,endurance,beginner,Running + Cycling,33,379.3,4
50,52.5,176.0,16.95,female,weight_loss,intermediate,Cardio + HIIT,52,245.7,5
63,126.7,176.1,40.86,male,endurance,beginner,Running + Cycling,44,581.9,3
40,99.0,179.4,30.76,female,muscle_gain,intermediate,Strength Training,53,415.4,5
50,109.2,187.6,31.03,female,endurance,beginner,Running + Cycling,40,491.4,4
40,59.5,181.2,18.12,male,endurance,beginner,Running + Cycling,33,233.2,4
44,79.8,180.0,24.63,male,muscle_gain,intermediate,Strength Training,54,334.0,5
33,80.9,152.7,34.7,female,endurance,beginner,Running + Cycling,29,288.9,4
61,114.9,168.8,40.33,female,endurance,intermediate,Running + Cycling,57,691.8,5
33,45.1,161.6,17.27,female,flexibility,beginner,Yoga + Stretching,45,100.0,4
17,70.6,163.3,26.47,female,endurance,intermediate,Running + Cycling,59,554.5,5
50,128.4,177.7,40.66,male,general_fitness,advanced,Mixed Training,62,656.8,6
31,85.4,160.0,33.36,female,weight_loss,advanced,Cardio + HIIT,69,586.3,5
56,77.5,164.7,28.57,male,muscle_gain,advanced,Strength Training,75,421.4,5
51,55.2,161.9,21.06,female,general_fitness,advanced,Mixed Training,63,285.3,5
48,127.8,197.4,32.8,female,muscle_gain,beginner,Strength Training,43,416.7,4
19,46.7,197.2,12.01,female,weight_loss,beginner,Cardio + HIIT,30,147.8,4
48,107.7,180.5,33.06,female,muscle_gain,intermediate,Strength Training,43,351.2,5
29,110.3,196.2,28.65,female,weight_loss,advanced,Cardio + HIIT,65,720.5,5
36,65.7,189.3,18.33,male,weight_loss,advanced,Cardio + HIIT,64,407.9,5
63,102.1,179.5,31.69,female,general_fitness,beginner,Mixed Training,27,211.0,4
35,52.9,150.3,23.42,male,muscle_gain,beginner,Strength Training,25,107.5,3
23,66.8,188.6,18.78,male,weight_loss,beginner,Cardio + HIIT,36,248.9,3
22,112.0,185.1,32.69,male,general_fitness,advanced,Mixed Training,69,736.7,6
18,118.5,180.8,36.25,male,general_fitness,intermediate,Mixed Training,54,621.8,5
32,96.7,188.0,27.36,female,muscle_gain,beginner,Strength Training,45,359.0,3
48,88.1,175.6,28.57,female,weight_loss,intermediate,Cardio + HIIT,53,424.9,5
63,58.5,185.2,17.06,male,flexibility,intermediate,Yoga + Stretching,46,112.3,4
