age,weight_kg,height_cm,bmi,gender,goal,experience,workout_type,duration_min,calories_burned,weekly_frequency,bmi_category,age_group,fitness_score
42,95.0,193.4,25.4,male,general_fitness,beginner,Mixed Training,43,352.0,4,Overweight,Middle-aged,87.5
57,47.5,186.2,13.7,female,general_fitness,beginner,Mixed Training,25,94.2,3,Underweight,Senior,54.9
43,78.6,187.3,22.41,male,weight_loss,advanced,Cardio + HIIT,57,418.9,5,Normal,Middle-aged,160.5
31,96.5,177.9,30.49,female,general_fitness,beginner,Mixed Training,36,316.9,3,Obese,Adult,82.7
30,95.8,179.2,29.83,male,weight_loss,intermediate,Cardio + HIIT,48,459.8,4,Overweight,Adult,123.0
62,112.4,156.7,45.77,female,weight_loss,beginner,Cardio + HIIT,45,424.9,3,Obese,Senior,88.5
59,100.7,172.2,33.96,male,weight_loss,intermediate,Cardio + HIIT,44,378.8,4,Obese,Senior,121.0
18,129.3,172.5,43.45,female,weight_loss,intermediate,Cardio + HIIT,40,548.2,4,Obese,Young,119.0
52,69.1,197.9,17.64,male,flexibility,beginner,Yoga + Stretching,34,104.5,3,Underweight,Middle-aged,60.4
22,75.5,171.6,25.64,male,weight_loss,beginner,Cardio + HIIT,41,321.9,4,Overweight,Young,85.7
36,77.6,177.5,24.63,male,weight_loss,intermediate,Cardio + HIIT,43,323.7,4,Normal,Adult,119.9
24,84.6,176.7,27.1,female,weight_loss,beginner,Cardio + HIIT,39,339.8,3,Overweight,Young,85.5
54,116.1,181.8,35.13,male,weight_loss,beginner,Cardio + HIIT,43,439.3,3,Obese,Middle-aged,87.5
33,65.0,187.4,18.51,male,weight_loss,intermediate,Cardio + HIIT,47,300.9,4,Normal,Adult,119.6
19,111.0,161.3,42.66,female,endurance,beginner,Running + Cycling,39,570.9,3,Obese,Young,85.5
40,79.5,176.4,25.55,female,weight_loss,advanced,Cardio + HIIT,61,460.7,6,Overweight,Middle-aged,162.5
29,96.2,191.3,26.29,male,general_fitness,intermediate,Mixed Training,54,478.6,5,Overweight,Adult,126.0
24,98.8,173.2,32.94,female,flexibility,beginner,Yoga + Stretching,32,162.8,4,Obese,Young,65.3
41,76.7,163.9,28.55,male,weight_loss,intermediate,Cardio + HIIT,49,355.2,4,Overweight,Middle-aged,123.5
17,88.6,182.7,26.54,female,general_fitness,intermediate,Mixed Training,57,493.0,4,Overweight,Young,127.5
35,80.1,191.2,21.91,female,weight_loss,beginner,Cardio + HIIT,28,218.7,3,Normal,Adult,68.9
43,50.9,153.2,21.69,male,weight_loss,intermediate,Cardio + HIIT,54,257.0,4,Normal,Middle-aged,118.7
62,82.2,188.8,23.06,female,weight_loss,beginner,Cardio + HIIT,35,241.7,4,Normal,Senior,74.7
22,53.3,191.1,14.6,male,muscle_gain,beginner,Strength Training,27,124.7,4,Underweight,Young,59.0
59,79.4,173.1,26.5,female,muscle_gain,beginner,Strength Training,39,220.6,3,Overweight,Senior,74.6
23,95.4,199.2,24.04,female,flexibility,beginner,Yoga + Stretching,27,133.3,3,Normal,Young,59.8
62,94.3,189.3,26.32,female,muscle_gain,beginner,Strength Training,39,257.4,4,Overweight,Senior,78.2
50,101.3,188.7,28.45,male,endurance,intermediate,Running + Cycling,45,512.8,5,Overweight,Middle-aged,121.5
29,53.1,187.4,15.12,male,weight_loss,intermediate,Cardio + HIIT,40,213.5,5,Underweight,Adult,107.4
32,100.4,157.5,40.47,male,flexibility,intermediate,Yoga + Stretching,53,263.4,5,Obese,Adult,118.8
51,71.5,160.9,27.62,female,weight_loss,advanced,Cardio + HIIT,70,447.9,6,Overweight,Middle-aged,166.0
55,78.9,173.2,26.3,female,weight_loss,advanced,Cardio + HIIT,55,379.7,6,Overweight,Senior,159.5
19,117.9,163.2,44.27,female,weight_loss,intermediate,Cardio + HIIT,60,746.3,5,Obese,Young,129.0
17,45.8,170.8,15.7,male,weight_loss,intermediate,Cardio + HIIT,56,273.2,4,Underweight,Young,121.3
21,95.0,194.4,25.14,female,muscle_gain,beginner,Strength Training,32,264.7,3,Overweight,Young,75.5
57,95.9,191.2,26.23,female,flexibility,advanced,Yoga + Stretching,72,298.6,6,Overweight,Senior,162.9
19,78.7,181.5,23.89,female,weight_loss,beginner,Cardio + HIIT,40,332.1,3,Normal,Young,86.0
44,65.1,192.9,17.5,male,endurance,beginner,Running + Cycling,30,227.0,4,Underweight,Middle-aged,70.7
33,64.9,189.2,18.13,male,endurance,intermediate,Running + Cycling,49,391.5,4,Underweight,Adult,123.5
41,120.1,171.4,40.88,female,general_fitness,beginner,Mixed Training,34,353.7,4,Obese,Middle-aged,83.0
59,82.6,160.1,32.23,female,weight_loss,beginner,Cardio + HIIT,29,204.8,3,Obese,Senior,68.0
49,73.1,175.7,23.68,male,muscle_gain,intermediate,Strength Training,51,281.2,5,Normal,Middle-aged,119.6
25,83.1,186.8,23.81,female,general_fitness,intermediate,Mixed Training,59,460.7,4,Normal,Adult,128.5
51,101.9,171.8,34.52,male,endurance,intermediate,Running + Cycling,56,638.4,4,Obese,Middle-aged,127.0
29,57.4,183.3,17.08,female,muscle_gain,advanced,Strength Training,68,326.9,6,Underweight,Adult,165.7
46,83.2,154.7,34.77,male,weight_loss,beginner,Cardio + HIIT,38,290.9,4,Obese,Middle-aged,81.1
63,95.0,187.4,27.05,male,weight_loss,beginner,Cardio + HIIT,27,214.2,4,Overweight,Senior,67.9
30,125.6,190.6,34.57,male,endurance,intermediate,Running + Cycling,51,800.0,4,Obese,Adult,124.5
23,66.5,185.3,19.37,male,endurance,beginner,Running + Cycling,44,378.6,3,Normal,Young,88.0
29,75.5,198.4,19.18,male,weight_loss,intermediate,Cardio + HIIT,57,432.5,4,Normal,Adult,127.5
38,77.2,191.3,21.1,female,endurance,beginner,Running + Cycling,36,333.5,3,Normal,Adult,84.0
55,96.5,195.2,25.33,male,endurance,intermediate,Running + Cycling,41,432.7,5,Overweight,Senior,119.5
36,75.3,196.7,19.46,male,muscle_gain,intermediate,Strength Training,41,249.6,5,Normal,Adult,111.5
31,90.3,190.1,24.99,male,endurance,intermediate,Running + Cycling,56,628.9,4,Normal,Adult,127.0
60,111.5,183.7,33.04,male,flexibility,intermediate,Yoga + Stretching,49,232.2,5,Obese,Senior,113.7
33,105.0,150.3,46.48,male,muscle_gain,intermediate,Strength Training,57,491.3,5,Obese,Adult,127.5
62,82.9,173.3,27.6,male,general_fitness,beginner,Mixed Training,43,274.5,4,Overweight,Senior,82.0
39,118.5,178.6,37.15,female,weight_loss,beginner,Cardio + HIIT,45,509.3,4,Obese,Adult,88.5
41,92.4,165.2,33.86,male,weight_loss,beginner,Cardio + HIIT,25,218.3,3,Obese,Middle-aged,67.3
40,90.9,165.9,33.03,female,weight_loss,intermediate,Cardio + HIIT,43,371.3,5,Obese,Middle-aged,120.5
60,47.9,198.1,12.21,male,weight_loss,beginner,Cardio + HIIT,28,114.0,4,Underweight,Senior,58.4
56,128.9,194.6,34.04,male,weight_loss,intermediate,Cardio + HIIT,41,459.8,5,Obese,Senior,119.5
44,55.5,192.5,14.98,male,weight_loss,beginner,Cardio + HIIT,43,221.9,3,Underweight,Middle-aged,76.7
30,64.6,170.3,22.27,female,flexibility,intermediate,Yoga + Stretching,60,193.8,5,Normal,Adult,115.4
60,49.4,150.7,21.75,female,weight_loss,advanced,Cardio + HIIT,66,277.1,5,Normal,Senior,159.7
16,99.4,154.0,41.91,female,endurance,beginner,Running + Cycling,34,452.0,3,Obese,Young,83.0
40,64.1,165.6,23.37,male,weight_loss,beginner,Cardio + HIIT,37,225.3,4,Normal,Middle-aged,74.0
22,60.3,150.8,26.52,female,general_fitness,beginner,Mixed Training,44,252.9,4,Overweight,Young,80.3
24,52.5,150.9,23.06,male,endurance,intermediate,Running + Cycling,54,365.0,4,Normal,Young,126.0
39,53.8,195.8,14.03,male,weight_loss,intermediate,Cardio + HIIT,42,215.8,4,Underweight,Adult,108.6
16,94.7,185.3,27.58,female,flexibility,beginner,Yoga + Stretching,44,222.9,3,Overweight,Young,77.3
59,103.5,165.4,37.83,male,muscle_gain,intermediate,Strength Training,52,383.5,4,Obese,Senior,125.0
23,78.8,156.6,32.13,female,flexibility,beginner,Yoga + Stretching,32,130.5,4,Obese,Young,62.0
39,85.8,175.6,27.83,male,muscle_gain,intermediate,Strength Training,46,314.1,4,Overweight,Adult,120.4
26,103.3,150.3,45.73,female,endurance,intermediate,Running + Cycling,47,619.0,5,Obese,Adult,122.5
32,46.5,196.9,11.99,female,flexibility,intermediate,Yoga + Stretching,57,131.2,5,Underweight,Adult,107.6
23,72.5,170.7,24.88,female,muscle_gain,beginner,Strength Training,33,206.4,3,Normal,Young,70.1
50,127.7,170.1,44.13,male,weight_loss,advanced,Cardio + HIIT,60,689.6,6,Obese,Middle-aged,162.0
50,94.3,169.5,32.82,male,flexibility,intermediate,Yoga + Stretching,43,182.5,4,Obese,Middle-aged,105.8
48,66.6,153.5,28.27,female,muscle_gain,beginner,Strength Training,39,197.0,3,Overweight,Middle-aged,72.2
20,89.3,181.9,26.99,male,muscle_gain,beginner,Strength Training,29,226.6,3,Overweight,Young,70.2
57,74.1,186.7,21.26,female,weight_loss,intermediate,Cardio + HIIT,44,282.0,5,Normal,Senior,116.2
54,90.2,183.8,26.7,female,muscle_gain,advanced,Strength Training,61,403.5,6,Overweight,Middle-aged,162.5
56,55.7,156.9,22.63,male,general_fitness,advanced,Mixed Training,63,279.9,5,Normal,Senior,158.5
43,56.3,178.9,17.59,female,weight_loss,intermediate,Cardio + HIIT,46,242.1,5,Underweight,Middle-aged,113.2
22,57.2,178.5,17.95,female,muscle_gain,advanced,Strength Training,63,312.3,6,Underweight,Young,161.7
24,124.9,193.4,33.39,male,endurance,beginner,Running + Cycling,44,707.6,4,Obese,Young,88.0
23,107.3,169.0,37.57,male,flexibility,beginner,Yoga + Stretching,34,188.8,4,Obese,Young,68.9
27,58.8,168.6,20.69,male,muscle_gain,advanced,Strength Training,58,288.5,6,Normal,Adult,156.8
49,61.0,180.9,18.64,male,muscle_gain,advanced,Strength Training,60,276.0,5,Normal,Middle-aged,156.6
48,107.1,181.7,32.44,female,general_fitness,intermediate,Mixed Training,53,473.5,5,Obese,Middle-aged,125.5
63,58.3,173.5,19.37,male,endurance,advanced,Running + Cycling,63,383.4,6,Normal,Senior,163.5
38,64.9,172.2,21.89,female,weight_loss,advanced,Cardio + HIIT,55,342.7,5,Normal,Adult,159.5
39,126.9,174.7,41.58,male,weight_loss,advanced,Cardio + HIIT,71,800.0,6,Obese,Adult,166.0
52,66.7,193.1,17.89,female,muscle_gain,advanced,Strength Training,67,331.4,6,Underweight,Middle-aged,165.5
50,101.2,173.1,33.77,female,weight_loss,advanced,Cardio + HIIT,61,555.6,6,Obese,Middle-aged,162.5
59,128.2,197.0,33.03,male,weight_loss,beginner,Cardio + HIIT,33,361.7,3,Obese,Senior,82.5
55,76.8,175.2,25.02,male,general_fitness,advanced,Mixed Training,65,400.4,6,Overweight,Senior,164.5
37,46.5,197.5,11.92,female,weight_loss,beginner,Cardio + HIIT,27,121.2,4,Underweight,Adult,58.6
42,65.8,191.6,17.92,female,endurance,advanced,Running + Cycling,66,510.3,5,Underweight,Middle-aged,165.0
50,115.6,168.1,40.91,male,weight_loss,intermediate,Cardio + HIIT,60,624.2,4,Obese,Middle-aged,129.0
16,118.5,193.2,31.75,male,flexibility,intermediate,Yoga + Stretching,42,266.3,5,Obese,Young,113.6
50,110.3,155.5,45.62,male,endurance,intermediate,Running + Cycling,54,670.1,4,Obese,Middle-aged,126.0
52,54.6,196.3,14.17,male,weight_loss,beginner,Cardio + HIIT,45,218.7,3,Underweight,Middle-aged,77.4
62,112.6,181.6,34.14,female,muscle_gain,beginner,Strength Training,34,268.0,3,Obese,Senior,76.8
29,123.1,152.7,52.79,female,weight_loss,advanced,Cardio + HIIT,55,680.4,6,Obese,Adult,159.5
18,96.1,182.2,28.95,male,general_fitness,advanced,Mixed Training,68,635.0,6,Overweight,Young,166.0
16,125.0,198.7,31.66,female,general_fitness,beginner,Mixed Training,44,539.5,3,Obese,Young,88.0
20,115.3,153.5,48.93,male,muscle_gain,advanced,Strength Training,60,605.3,5,Obese,Young,162.0
41,101.7,177.7,32.21,female,muscle_gain,advanced,Strength Training,56,448.5,5,Obese,Middle-aged,160.0
29,94.1,187.4,26.79,male,muscle_gain,intermediate,Strength Training,47,370.4,4,Overweight,Adult,122.5
54,74.6,190.5,20.56,male,endurance,beginner,Running + Cycling,25,205.2,4,Normal,Middle-aged,66.0
42,58.5,170.7,20.08,male,muscle_gain,advanced,Strength Training,58,265.8,5,Normal,Middle-aged,154.6
24,96.4,160.2,37.56,male,weight_loss,intermediate,Cardio + HIIT,43,427.0,5,Obese,Young,120.5
30,72.0,152.1,31.12,female,muscle_gain,advanced,Strength Training,59,354.0,5,Obese,Adult,161.5
30,118.6,179.0,37.02,female,weight_loss,advanced,Cardio + HIIT,74,800.0,6,Obese,Adult,166.0
41,129.4,172.6,43.44,male,endurance,advanced,Running + Cycling,63,800.0,6,Obese,Middle-aged,163.5
57,109.0,197.4,27.97,female,weight_loss,intermediate,Cardio + HIIT,52,490.3,4,Overweight,Senior,125.0
28,52.7,153.0,22.51,male,endurance,beginner,Running + Cycling,42,279.4,4,Normal,Adult,81.9
47,69.5,184.3,20.46,female,weight_loss,beginner,Cardio + HIIT,41,260.7,4,Normal,Middle-aged,79.6
54,54.3,151.2,23.75,male,weight_loss,beginner,Cardio + HIIT,25,119.5,4,Normal,Middle-aged,57.4
64,100.3,158.6,39.87,male,endurance,beginner,Running + Cycling,39,405.8,3,Obese,Senior,85.5
47,110.0,172.7,36.88,male,general_fitness,intermediate,Mixed Training,41,378.3,5,Obese,Middle-aged,119.5
19,123.7,172.7,41.47,female,flexibility,intermediate,Yoga + Stretching,55,358.9,5,Obese,Young,126.5
45,82.2,184.3,24.2,female,weight_loss,advanced,Cardio + HIIT,74,562.7,5,Normal,Middle-aged,166.0
52,121.6,195.5,31.82,male,weight_loss,beginner,Cardio + HIIT,29,313.8,3,Obese,Middle-aged,78.9
38,119.6,182.0,36.11,male,general_fitness,intermediate,Mixed Training,58,610.4,5,Obese,Adult,128.0
54,72.0,197.7,18.42,male,muscle_gain,beginner,Strength Training,29,153.1,4,Underweight,Middle-aged,62.8
60,118.9,194.1,31.56,female,weight_loss,beginner,Cardio + HIIT,26,262.8,3,Obese,Senior,72.3
30,76.9,179.2,23.95,female,general_fitness,beginner,Mixed Training,31,218.5,3,Normal,Adult,70.4
58,70.2,191.7,19.1,male,flexibility,intermediate,Yoga + Stretching,42,126.8,5,Normal,Senior,99.7
44,100.2,182.1,30.22,male,general_fitness,beginner,Mixed Training,41,350.2,4,Obese,Middle-aged,86.5
51,72.9,153.9,30.78,female,general_fitness,intermediate,Mixed Training,42,251.2,4,Obese,Middle-aged,112.1
28,98.6,187.0,28.2,male,general_fitness,beginner,Mixed Training,37,337.8,3,Overweight,Adult,84.5
47,96.8,154.7,40.45,male,weight_loss,advanced,Cardio + HIIT,61,540.3,6,Obese,Middle-aged,162.5
22,92.9,179.7,28.77,male,weight_loss,advanced,Cardio + HIIT,57,550.7,6,Overweight,Young,160.5
37,77.3,185.1,22.56,male,endurance,advanced,Running + Cycling,69,643.4,5,Normal,Adult,166.0
43,91.6,153.3,38.98,male,muscle_gain,advanced,Strength Training,72,513.9,6,Obese,Middle-aged,166.0
17,95.7,161.5,36.69,female,muscle_gain,advanced,Strength Training,64,543.6,6,Obese,Young,164.0
57,91.4,195.8,23.84,male,muscle_gain,advanced,Strength Training,61,401.9,6,Normal,Senior,162.5
60,82.8,180.8,25.33,female,muscle_gain,intermediate,Strength Training,48,281.5,5,Overweight,Senior,118.2
21,46.2,162.3,17.54,male,endurance,beginner,Running + Cycling,29,175.0,3,Underweight,Young,65.0
43,94.9,184.5,27.88,female,weight_loss,beginner,Cardio + HIIT,44,390.4,3,Overweight,Middle-aged,88.0
43,59.3,179.8,18.34,female,weight_loss,beginner,Cardio + HIIT,32,177.4,4,Underweight,Middle-aged,66.7
59,99.6,175.1,32.49,female,muscle_gain,intermediate,Strength Training,53,376.1,5,Obese,Senior,125.5
59,109.5,198.8,27.71,male,endurance,intermediate,Running + Cycling,43,503.2,5,Overweight,Senior,120.5
35,87.5,184.2,25.79,male,weight_loss,advanced,Cardio + HIIT,74,631.3,6,Overweight,Adult,166.0
45,91.1,168.8,31.97,male,muscle_gain,advanced,Strength Training,68,477.5,5,Obese,Middle-aged,166.0
26,125.9,190.0,34.88,female,endurance,intermediate,Running + Cycling,51,800.0,5,Obese,Adult,124.5
43,117.0,194.2,31.02,male,muscle_gain,intermediate,Strength Training,41,373.8,5,Obese,Middle-aged,119.5
40,122.7,156.3,50.23,female,weight_loss,advanced,Cardio + HIIT,67,781.0,5,Obese,Middle-aged,165.5
54,114.2,160.0,44.61,female,muscle_gain,beginner,Strength Training,25,209.4,3,Obese,Middle-aged,66.4
48,54.3,160.8,21.0,male,weight_loss,advanced,Cardio + HIIT,74,365.7,6,Normal,Middle-aged,166.0
16,57.7,184.6,16.93,female,general_fitness,beginner,Mixed Training,31,175.4,3,Underweight,Young,66.0
42,89.8,180.2,27.65,male,weight_loss,intermediate,Cardio + HIIT,48,405.2,4,Overweight,Middle-aged,123.0
28,65.9,180.9,20.14,male,endurance,beginner,Running + Cycling,41,341.1,4,Normal,Adult,86.5
56,85.5,197.0,22.03,male,weight_loss,advanced,Cardio + HIIT,75,557.9,6,Normal,Senior,166.0
18,78.5,188.8,22.02,female,muscle_gain,intermediate,Strength Training,52,360.6,4,Normal,Young,125.0
54,91.7,156.4,37.49,male,endurance,beginner,Running + Cycling,34,343.0,4,Obese,Middle-aged,83.0
21,108.5,167.4,38.72,female,weight_loss,beginner,Cardio + HIIT,40,453.5,3,Obese,Young,86.0
23,105.8,171.8,35.85,male,muscle_gain,intermediate,Strength Training,45,410.6,4,Obese,Young,121.5
42,89.3,169.8,30.97,male,weight_loss,advanced,Cardio + HIIT,70,587.6,5,Obese,Middle-aged,166.0
24,114.9,183.5,34.12,female,muscle_gain,advanced,Strength Training,65,641.0,6,Obese,Young,164.5
52,81.6,194.6,21.55,male,endurance,intermediate,Running + Cycling,59,535.6,5,Normal,Middle-aged,128.5
48,121.2,165.3,44.36,male,muscle_gain,beginner,Strength Training,27,248.2,3,Obese,Middle-aged,71.3
57,51.1,177.6,16.2,female,general_fitness,intermediate,Mixed Training,48,194.5,4,Underweight,Senior,109.4
59,126.1,189.5,35.12,male,endurance,intermediate,Running + Cycling,54,727.8,5,Obese,Senior,126.0
39,100.6,170.8,34.48,male,muscle_gain,advanced,Strength Training,67,536.4,5,Obese,Adult,165.5
30,77.3,158.4,30.81,male,weight_loss,beginner,Cardio + HIIT,34,262.8,3,Obese,Adult,76.3
47,61.8,173.7,20.48,male,muscle_gain,intermediate,Strength Training,59,278.0,5,Normal,Middle-aged,123.3
47,85.7,152.8,36.71,female,flexibility,intermediate,Yoga + Stretching,52,203.9,5,Obese,Middle-aged,112.4
39,61.5,197.1,15.83,female,weight_loss,advanced,Cardio + HIIT,71,417.0,6,Underweight,Adult,166.0
56,59.1,153.7,25.02,male,flexibility,advanced,Yoga + Stretching,61,156.8,6,Overweight,Senior,145.2
64,97.5,171.9,33.0,male,weight_loss,advanced,Cardio + HIIT,60,485.6,5,Obese,Senior,162.0
64,89.5,176.5,28.73,male,flexibility,intermediate,Yoga + Stretching,52,193.1,5,Overweight,Senior,111.3
27,102.0,199.3,25.68,female,weight_loss,beginner,Cardio + HIIT,41,424.5,4,Overweight,Adult,86.5
54,124.0,158.3,49.48,male,general_fitness,advanced,Mixed Training,69,690.2,5,Obese,Middle-aged,166.0
17,90.2,155.7,37.21,male,muscle_gain,intermediate,Strength Training,43,344.2,4,Obese,Young,120.5
18,94.4,150.4,41.73,female,weight_loss,beginner,Cardio + HIIT,39,390.2,3,Obese,Young,85.5
64,52.6,157.8,21.12,female,weight_loss,beginner,Cardio + HIIT,38,165.9,4,Normal,Senior,68.6
52,106.0,160.4,41.2,male,muscle_gain,advanced,Strength Training,75,589.6,5,Obese,Middle-aged,166.0
64,79.0,181.5,23.98,male,general_fitness,beginner,Mixed Training,35,210.4,4,Normal,Senior,71.5
32,128.0,161.0,49.38,male,weight_loss,intermediate,Cardio + HIIT,43,544.9,4,Obese,Adult,120.5
64,115.0,151.0,50.44,male,weight_loss,intermediate,Cardio + HIIT,42,400.9,5,Obese,Senior,120.0
17,89.4,191.3,24.43,female,endurance,beginner,Running + Cycling,26,309.4,3,Normal,Young,76.9
17,55.5,168.3,19.59,female,muscle_gain,beginner,Strength Training,44,216.7,4,Normal,Young,76.7
43,118.1,167.7,41.99,female,muscle_gain,advanced,Strength Training,64,588.9,6,Obese,Middle-aged,164.0
38,113.0,165.1,41.46,male,endurance,advanced,Running + Cycling,67,800.0,5,Obese,Adult,165.5
52,60.7,198.8,15.36,male,weight_loss,beginner,Cardio + HIIT,44,237.7,3,Underweight,Middle-aged,78.8
47,70.1,158.5,27.9,male,general_fitness,advanced,Mixed Training,75,441.0,6,Overweight,Middle-aged,166.0
48,112.4,194.9,29.59,male,muscle_gain,advanced,Strength Training,72,613.7,5,Overweight,Middle-aged,166.0
16,60.7,188.8,17.03,female,weight_loss,intermediate,Cardio + HIIT,60,389.7,5,Underweight,Young,129.0
34,123.0,153.8,52.0,male,endurance,intermediate,Running + Cycling,55,800.0,5,Obese,Adult,126.5
17,81.1,199.3,20.42,male,endurance,advanced,Running + Cycling,65,701.8,6,Normal,Young,164.5
59,52.4,163.6,19.58,male,muscle_gain,intermediate,Strength Training,49,182.9,4,Normal,Senior,108.8
41,114.3,154.9,47.64,male,endurance,beginner,Running + Cycling,33,445.6,4,Obese,Middle-aged,82.5
47,76.7,191.5,20.91,male,weight_loss,advanced,Cardio + HIIT,66,463.2,6,Normal,Middle-aged,165.0
21,89.8,185.3,26.15,female,muscle_gain,intermediate,Strength Training,58,453.6,5,Overweight,Young,128.0
47,54.5,180.9,16.65,male,general_fitness,beginner,Mixed Training,25,114.3,4,Underweight,Middle-aged,56.9
19,45.2,157.8,18.15,female,weight_loss,intermediate,Cardio + HIIT,57,271.8,4,Underweight,Young,121.7
26,99.2,173.9,32.8,male,muscle_gain,intermediate,Strength Training,53,446.9,4,Obese,Adult,125.5
32,88.8,189.0,24.86,male,flexibility,advanced,Yoga + Stretching,75,329.7,6,Normal,Adult,166.0
53,95.5,165.2,34.99,female,general_fitness,intermediate,Mixed Training,40,309.9,4,Obese,Middle-aged,117.0
39,112.5,165.6,41.02,male,muscle_gain,beginner,Strength Training,41,367.1,3,Obese,Adult,86.5
20,100.0,150.2,44.33,female,muscle_gain,intermediate,Strength Training,50,437.5,5,Obese,Young,124.0
49,59.9,158.7,23.78,male,endurance,intermediate,Running + Cycling,59,399.8,4,Normal,Middle-aged,128.5
21,75.7,193.8,20.16,male,general_fitness,beginner,Mixed Training,39,282.8,3,Normal,Young,80.8
37,122.0,172.1,41.19,female,general_fitness,intermediate,Mixed Training,43,464.1,4,Obese,Adult,120.5
26,110.4,199.2,27.82,female,weight_loss,advanced,Cardio + HIIT,69,777.0,5,Overweight,Adult,166.0
63,92.3,169.8,32.01,female,muscle_gain,beginner,Strength Training,38,244.1,3,Obese,Senior,76.4
31,66.7,185.8,19.32,female,muscle_gain,intermediate,Strength Training,40,221.2,4,Normal,Adult,108.1
48,70.7,164.1,26.25,male,flexibility,beginner,Yoga + Stretching,33,106.2,4,Overweight,Middle-aged,60.1
24,107.2,168.2,37.89,female,endurance,beginner,Running + Cycling,31,427.9,3,Obese,Young,81.5
21,117.3,159.5,46.11,female,endurance,beginner,Running + Cycling,35,536.3,4,Obese,Young,83.5
31,102.1,167.4,36.43,male,general_fitness,beginner,Mixed Training,26,242.1,4,Obese,Adult,70.2
44,113.8,177.4,36.16,male,weight_loss,advanced,Cardio + HIIT,56,592.7,6,Obese,Middle-aged,160.0
18,110.2,199.6,27.66,female,weight_loss,beginner,Cardio + HIIT,30,350.4,3,Overweight,Young,81.0
35,57.7,183.2,17.19,male,muscle_gain,intermediate,Strength Training,58,271.9,4,Underweight,Adult,122.2
51,81.0,160.0,31.64,male,muscle_gain,beginner,Strength Training,44,265.8,4,Obese,Middle-aged,81.6
